method,ST5_strict_s,settled_strict,last_violation_time_s,abs_e5_Te,max_abs_e5_0Te,max_abs_e5_final,min_e5_final,max_e5_final,RMSE5_final,SSE5_final,final_window_start_s,final_window_end_s,epsilon,n_final_points
Proposed,1.7439583333333335,1,1.7439541666666667,1.1066934157372992,204.81525636048502,2.9931278465638185,-2.9931278465638185,2.211350332298137,0.9460143967130179,0.7631022032759541,1.8199999999999998,1.92,3.0,24001
Reference,1.7059250000000001,1,1.7059208333333333,0.775704586118851,15.28131927296807,2.570616546343354,-2.5273647363547793,2.570616546343354,0.7900733009506271,0.6347301292821033,1.8199999999999998,1.92,3.0,24001
