state,proposed_ST_s,proposed_RMSE,proposed_SSE,method85_ST_s,method85_RMSE,method85_SSE,T_eval_s,epsilon_used,note
e1,0.038837500000000004,0.4688429740243065,0.25995438165539136,0.0021666666666666666,0.1704201793310138,0.13314765720937585,1.92,3.0,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
e2,0.12712083333333335,0.5377274866616827,0.19418459330682442,0.0023458333333333335,0.039342343387043295,0.011908279524640668,1.92,3.0,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
e3,0.14032916666666667,0.3128667217088972,0.10841752208903371,0.0020833333333333333,0.041903292981990116,0.00911878025991072,1.92,3.0,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
e4,0.02395416666666667,0.18042506230351182,0.0400485044674524,0.00125,0.05789440520465733,0.017042441270447604,1.92,3.0,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
e5,1.7439583333333335,0.9253533875339564,0.7447848764880489,1.7059250000000001,0.7992706553048466,0.6402569718854194,1.92,3.0,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
e6,0.235025,0.4127192606783904,0.23356669375960112,0.001975,0.07511007613494865,0.05082110189110021,1.92,3.0,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
Mean,0.38487083333333333,0.4729891488184575,0.2634927619610587,0.2859576388888889,0.19732349205741662,0.14371587200681576,1.92,,Digital message disabled; RMSE/SSE are post-settling metrics when ST is defined.
