method,k,mean_ST_s,mean_RMSE_e,mean_SSE_e,E_res_no_msg,E_res_msg,E_res_abs_diff,max_abs_u,RMSE_m,BER_0_Teval,BER_final_window,BER_total_valid,settled_states
RKF5,0.1,1.345972222222222,0.4677103743727848,0.39643989836891724,78.19449952477804,78.19449952477804,0.0,8.542039090054702,42.44647891328767,0.4393939393939394,0.5,0.43609022556390975,3
RKF5,1.0,0.08985416666666667,0.48797956128786435,0.4250717659838507,98.35281832872835,98.35281832872835,0.0,73.12640542340081,67.99962088332909,0.4393939393939394,0.8333333333333334,0.43609022556390975,2
RKF5,10.0,0.7055277777777778,0.3070542606256148,0.21013672559452942,3.4143955278273723,3.4143955278273723,0.0,415.401151798324,1.1646833230491282,0.1893939393939394,0.16666666666666666,0.18796992481203006,6
RKF5,25.0,0.4988819444444445,0.2839303390441926,0.1909748152175589,3.067052974168676,3.067052974168676,0.0,620.6007794664548,1.0032294030405218,0.12878787878787878,0.0,0.12781954887218044,6
RKF5,50.0,0.52775,0.2679496473185294,0.18762262275476002,2.977037744066056,2.977037744066056,0.0,744.1884652118534,0.966660117593855,0.09848484848484848,0.0,0.09774436090225563,6
RKF5,75.0,0.522986111111111,0.26951086086860715,0.1891070086799751,2.9807428385079393,2.9807428385079393,0.0,1057.788165182295,0.9566932461679962,0.09848484848484848,0.0,0.09774436090225563,6
RKF5,100.0,0.5138541666666666,0.27171570850794285,0.19051294896237558,2.9937528853028614,2.9937528853028614,0.0,1410.3842202430599,0.9521046545629919,0.08333333333333333,0.0,0.08270676691729323,6
RKF5,125.0,0.5127152777777778,0.27141648378841965,0.190250532643928,3.0014132470746104,3.0014132470746104,0.0,1762.9802753038248,0.9494732814747807,0.07575757575757576,0.0,0.07518796992481203,6
RKF5,150.0,0.51025,0.27310271302723493,0.190815661623705,3.006493669946485,3.006493669946485,0.0,2115.57633036459,0.9477683357915156,0.07575757575757576,0.0,0.07518796992481203,6
RKF5,200.0,0.48849305555555556,0.27842600100016607,0.19403901601498133,3.012901992858189,3.012901992858189,0.0,2820.7684404861197,0.945691158914691,0.05303030303030303,0.0,0.05263157894736842,6
RKF5,1000.0,0.7466249999999999,0.277275643251624,0.19917737404958955,3.0350831809091123,3.0350831809091123,0.0,14103.842202430598,0.9409547115040283,0.022727272727272728,0.0,0.022556390977443608,6
