state,epsilon_used,proposed_ST_s,proposed_RMSE,proposed_SSE,reference_ST_s,reference_RMSE,reference_SSE
e1,3.0,0.038875,0.47622516675375265,0.27440110029317477,0.0025416666666666665,0.16475268087204772,0.13002212526832893
e2,3.0,0.12704166666666666,0.5365496147140091,0.19320944569400064,0.0014166666666666666,0.052783967589717005,0.008532756294096156
e3,3.0,0.14029166666666668,0.3129539904486733,0.1088909635536576,0.001625,0.03188717658328605,0.005290822946957113
e4,3.0,0.02395833333333333,0.18043302403578967,0.04022713029641246,0.001375,0.04434577916109044,0.00940303051219805
e5,3.0,1.7439583333333333,0.9372795197442566,0.7550918625037384,1.7059583333333332,0.8093893825711171,0.6486401534112969
e6,3.0,0.23441666666666666,0.4132032376996927,0.23550369094229173,0.0020416666666666665,0.05392881684987799,0.03212867349105449
Mean,,0.38475694444444447,0.476107425566029,0.26788736554721265,0.2858263888888889,0.19284796727118939,0.13900292698732195
