case,window_start_s,window_end_s,evaluated_bits,bit_errors,BER,total_valid_BER
Proposed,0.0,0.4,28,11,0.39285714285714285,0.08270676691729323
Proposed,0.4,1.92,104,0,0.0,0.08270676691729323
Proposed,1.8199999999999998,1.92,6,0,0.0,0.08270676691729323
Proposed,0.0,1.92,132,11,0.08333333333333333,0.08270676691729323
Reference,0.0,0.4,28,1,0.03571428571428571,0.007518796992481203
Reference,0.4,1.92,104,0,0.0,0.007518796992481203
Reference,1.8199999999999998,1.92,6,0,0.0,0.007518796992481203
Reference,0.0,1.92,132,1,0.007575757575757576,0.007518796992481203
